,id,sex,age,education,game_won,time_to_2,time_to_7,time_to_end,time_total
104,126,,,,,0 days 00:01:22.180332,,,
105,127,m,1.0,,,,,,
106,128,m,1.0,2.0,,0 days 00:01:42.450252,,,
107,129,m,0.0,1.0,,,,,
108,130,m,1.0,1.0,,0 days 00:01:09.856835,,,
109,131,m,1.0,2.0,,,,,
111,133,f,1.0,1.0,,0 days 00:00:42.043704,,,
113,135,m,1.0,1.0,0.0,,,,0 days 00:00:32.651509
114,136,m,1.0,2.0,0.0,,,,0 days 00:01:39.107379
116,138,f,1.0,1.0,,0 days 00:01:34.522824,,,
117,139,m,1.0,2.0,,0 days 00:02:42.419236,,,
118,140,,0.0,1.0,,0 days 00:00:47.808885,,,
119,141,m,0.0,1.0,,0 days 00:00:49.054883,,,
120,142,m,3.0,3.0,,,,,
121,143,m,1.0,2.0,0.0,0 days 00:05:07.298657,0 days 00:09:54.188048,,0 days 00:11:43.112180
123,145,f,0.0,1.0,,,,,
126,148,m,1.0,0.0,,,,,
127,149,m,2.0,4.0,,0 days 00:43:51.769006,0 days 00:47:15.912172,,
128,150,m,0.0,,0.0,0 days 00:02:19.419660,0 days 00:06:16.160486,,0 days 00:08:03.238440
129,151,f,0.0,1.0,,,,,
130,152,f,1.0,1.0,,,,,
131,153,f,1.0,1.0,,0 days 00:01:01.931089,,,
132,154,,,,,,,,
133,155,f,1.0,1.0,,,,,
135,157,m,1.0,1.0,1.0,0 days 00:02:59.537504,0 days 00:21:18.849333,0 days 00:25:57.161969,0 days 00:25:57.161969
136,158,f,0.0,1.0,,,,,
137,159,m,1.0,2.0,,,,,
139,161,f,3.0,4.0,1.0,0 days 00:00:56.446477,0 days 00:30:26.806883,0 days 00:37:42.037219,0 days 00:37:42.037219
141,163,f,1.0,1.0,0.0,0 days 00:01:40.811964,,,0 days 00:02:36.948859
143,165,f,1.0,2.0,,0 days 00:01:50.337225,,,
144,166,f,1.0,2.0,0.0,,,,0 days 00:00:45.470397
145,167,f,1.0,1.0,,0 days 00:02:04.243891,0 days 00:02:48.794706,,
146,168,f,1.0,2.0,,0 days 00:00:40.548882,,,
147,169,f,1.0,1.0,,,,,
148,170,m,1.0,1.0,,,,,
149,171,m,1.0,1.0,,0 days 00:00:52.294964,,,
