last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
0.0,-0.005321197276346802,dpm,m,0.0,0.0,-1.6211368569934286,1
0.0,-1.5616101340253947,dpm,m,0.0,1.0,1.4620780709258987,0
1.0,0.6794459348932341,dpm,m,0.0,1.0,0.6847969966605219,0
1.0,0.5727289792304422,dpm,m,0.0,1.0,0.85752612427505,1
0.0,-1.5616101340253947,dpm,f,0.0,0.0,1.4620780709258987,0
1.0,0.9284521647730817,dpm,m,0.0,0.0,-0.351577769026647,1
1.0,2.17348331417232,dpm,m,0.0,0.0,1.4620780709258987,0
1.0,2.17348331417232,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.1018361909614896,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,0.0,1.0,-0.578284749020715,1
1.0,0.3059365900734627,dpm,m,0.0,1.0,-0.21206578133798953,1
0.0,0.0984313985069229,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,-0.0675727547463087,dpm,m,0.0,1.0,-0.458263406670914,1
0.0,-0.2033943346807711,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.2561221985028285,1
0.0,-0.4123506115030208,dpm,m,0.0,1.0,-0.17021218503139246,1
0.0,-0.49444057739747627,dpm,m,0.0,1.0,-0.578284749020715,1
0.0,-0.5655852145060041,dpm,m,0.0,1.0,-0.6306017444039613,1
0.0,-0.627836771975966,dpm,m,0.0,1.0,-0.5530950845769296,1
0.0,-0.682764616802403,dpm,m,0.0,1.0,-0.48112461473754264,1
1.0,-0.5786908055523119,dpm,m,0.0,1.0,-0.6813333762907459,1
1.0,-0.26244719552184176,dpm,m,0.0,1.0,-0.5424889100742833,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.49108975671530386,1
0.0,-0.36638023060212593,dpm,m,0.0,1.0,-0.6106714604484389,0
1.0,-0.22764818824049654,dpm,m,0.0,1.0,-0.6216967239131961,1
0.0,-0.2736468760261826,dpm,m,0.0,1.0,-0.6476848449372664,1
1.0,-0.23625439434233456,dpm,m,0.0,1.0,-0.6306017444039613,1
0.0,-0.27767176120743026,dpm,m,0.0,1.0,-0.5911172195864172,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.5530950845769296,1
1.0,2.17348331417232,dpm,m,2.0,3.0,1.4620780709258987,0
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-2.1652336089791926,1
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-1.9385266289851242,1
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-1.560681662328344,1
0.0,-1.5616101340253947,dpm,m,0.0,1.0,-1.2584056890029196,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-2.1652336089791926,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.9385266289851242,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.560681662328344,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.2584056890029196,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.0110889835548453,0
1.0,-1.0280253557114354,dpm,m,1.0,1.0,-1.077040105007665,1
0.0,-1.0947234530006804,dpm,m,1.0,1.0,-0.9183452190118173,0
1.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.6538537423520708,0
0.0,-0.8825022343530828,dpm,m,1.0,1.0,-0.5424889100742833,0
1.0,-0.6996654921336143,dpm,m,1.0,1.0,-0.351577769026647,0
0.0,-0.7612329665544558,dpm,m,1.0,1.0,-0.43043237076371393,0
0.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.6306017444039613,0
0.0,-0.8612801124883231,dpm,m,1.0,1.0,-0.5530950845769296,0
1.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,0
0.0,-0.3165789846261565,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,2.17348331417232,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.9390945593257757,dpm,m,1.0,1.0,0.7819571309436942,1
0.0,-1.0280253557114354,dpm,m,1.0,1.0,0.85752612427505,1
0.0,-1.0947234530006804,dpm,m,1.0,1.0,0.1018361909614896,1
0.0,-1.1465997508923154,dpm,m,1.0,1.0,0.20647018172798284,1
1.0,1.6398985358583607,dpm,f,1.0,1.0,1.4620780709258987,1
1.0,1.3434625479061613,dpm,f,1.0,1.0,1.4620780709258987,0
1.0,1.2397099521228914,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,1.0242237916499461,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,0.8395213683874221,dpm,f,1.0,1.0,1.1220176009347964,1
0.0,0.6794459348932341,dpm,f,1.0,1.0,1.1420211579930966,0
1.0,2.17348331417232,dpm,m,2.0,3.0,-1.8025024409886832,1
0.0,0.3059365900734627,dpm,m,2.0,3.0,-1.647046226135608,1
0.0,-0.3165789846261565,dpm,m,2.0,3.0,-1.560681662328344,1
0.0,-0.627836771975966,dpm,m,2.0,3.0,-1.2584056890029196,1
0.0,-0.8145914443858517,dpm,m,2.0,3.0,-1.0110889835548453,1
0.0,-0.9390945593257757,dpm,m,2.0,3.0,-0.804991729014783,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,-0.714308937017156,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,-0.351577769026647,1
1.0,-0.3165789846261565,dpm,f,1.0,1.0,0.2529741776242018,1
0.0,-0.49444057739747627,dpm,f,1.0,1.0,-0.02182216176254748,1
1.0,-0.3165789846261565,dpm,f,1.0,1.0,-0.09248407760485447,1
0.0,-0.4410820995660803,dpm,f,1.0,1.0,0.011153398963862048,1
1.0,1.4264646245327772,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,1.1063137575444015,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,0.7728232710981771,dpm,f,0.0,1.0,1.4620780709258987,0
1.0,1.2397099521228914,dpm,m,1.0,2.0,0.5552501509496263,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.8025024409886832,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.2584056890029196,1
