,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
68,90,f,0.0,1.0,2023-09-14 11:04:50.584616,,,2023-09-14 11:04:15.731077,,0 days 00:00:34.853539,,,
69,91,m,1.0,1.0,2023-09-14 11:07:12.737558,2023-09-14 11:09:36.308929,2023-09-14 11:12:42.969440,2023-09-14 11:05:11.428107,1.0,0 days 00:02:01.309451,0 days 00:04:24.880822,0 days 00:07:31.541333,0 days 00:07:31.541333
70,92,f,1.0,1.0,2023-09-14 11:06:43.150259,2023-09-14 11:08:57.151495,,2023-09-14 11:06:08.388755,,0 days 00:00:34.761504,0 days 00:02:48.762740,,
71,93,f,1.0,1.0,2023-09-14 11:08:26.232224,2023-09-14 11:11:13.484538,2023-09-14 11:14:12.529789,2023-09-14 11:06:44.612766,0.0,0 days 00:01:41.619458,0 days 00:04:28.871772,,0 days 00:07:27.917023
72,94,,1.0,1.0,2023-09-14 11:26:51.515779,2023-09-14 11:41:22.929493,2023-09-14 11:58:01.031364,2023-09-14 11:09:23.929831,1.0,0 days 00:17:27.585948,0 days 00:31:58.999662,0 days 00:48:37.101533,0 days 00:48:37.101533
73,95,m,2.0,3.0,2023-09-14 11:11:23.814580,2023-09-14 11:16:00.795842,,2023-09-14 11:09:26.050192,,0 days 00:01:57.764388,0 days 00:06:34.745650,,
74,96,m,1.0,1.0,,,,2023-09-14 11:12:05.159332,,,,,
76,98,m,1.0,1.0,,,,2023-09-14 11:11:23.482223,,,,,
77,99,m,2.0,3.0,,,,2023-09-14 11:13:54.146359,,,,,
78,100,f,1.0,1.0,2023-09-14 11:16:41.569178,,2023-09-14 11:31:06.230370,2023-09-14 11:15:53.127685,0.0,0 days 00:00:48.441493,,,0 days 00:15:13.102685
79,101,f,0.0,1.0,2023-09-14 11:18:24.116595,2023-09-14 11:20:53.504480,2023-09-14 11:22:51.198880,2023-09-14 11:17:11.400152,0.0,0 days 00:01:12.716443,0 days 00:03:42.104328,,0 days 00:05:39.798728
80,102,m,1.0,2.0,2023-09-14 11:21:29.444852,,2023-09-14 11:22:32.522741,2023-09-14 11:20:07.974902,0.0,0 days 00:01:21.469950,,,0 days 00:02:24.547839
81,103,m,1.0,1.0,2023-09-14 11:23:14.501004,2023-09-14 11:25:54.981639,2023-09-14 11:27:45.732552,2023-09-14 11:21:52.435793,1.0,0 days 00:01:22.065211,0 days 00:04:02.545846,0 days 00:05:53.296759,0 days 00:05:53.296759
82,104,,3.0,3.0,,,,2023-09-14 11:24:16.134602,,,,,
84,106,m,1.0,1.0,,,,2023-09-14 11:24:35.539534,,,,,
86,108,m,0.0,1.0,2023-09-14 11:29:35.284113,2023-09-14 11:32:35.361672,2023-09-14 11:39:46.923524,2023-09-14 11:26:19.456420,1.0,0 days 00:03:15.827693,0 days 00:06:15.905252,0 days 00:13:27.467104,0 days 00:13:27.467104
87,109,f,3.0,3.0,2023-09-14 11:32:21.760343,2023-09-14 11:33:48.624151,2023-09-14 11:45:59.869213,2023-09-14 11:27:42.017539,1.0,0 days 00:04:39.742804,0 days 00:06:06.606612,0 days 00:18:17.851674,0 days 00:18:17.851674
88,110,m,1.0,,2023-09-14 11:30:01.023756,,2023-09-14 11:30:20.960851,2023-09-14 11:29:23.956711,0.0,0 days 00:00:37.067045,,,0 days 00:00:57.004140
90,112,m,2.0,1.0,2023-09-14 11:38:16.555449,2023-09-14 11:51:09.663268,2023-09-14 11:56:18.390651,2023-09-14 11:35:27.266074,1.0,0 days 00:02:49.289375,0 days 00:15:42.397194,0 days 00:20:51.124577,0 days 00:20:51.124577
