game_id,last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,manipulation_detected
219,0.0,-0.2033943346807711,event1,m,2.0,2.0,-0.18669996539459693,1
219,0.0,-0.26244719552184176,event1,m,2.0,2.0,-0.24794029245792987,0
219,0.0,-0.3165789846261565,event1,m,2.0,2.0,-0.30256004362252403,0
219,0.0,-0.36638023060212593,event1,m,2.0,2.0,-0.2561221985028285,1
219,1.0,-0.3165789846261565,event1,m,2.0,2.0,-0.2631067524435955,1
222,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,0
222,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,1
222,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,0
223,0.0,-1.5616101340253947,event1,f,1.0,1.0,-1.2584056890029196,1
223,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.714308937017156,1
223,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.8697651518702314,1
223,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.578284749020715,1
224,1.0,0.9284521647730817,event1,m,1.0,1.0,1.4620780709258987,1
224,0.0,0.3059365900734627,event1,m,1.0,1.0,1.4620780709258987,1
224,0.0,-0.0675727547463087,event1,m,1.0,1.0,1.4620780709258987,1
224,1.0,0.03914420091648298,event1,m,1.0,1.0,1.4620780709258987,1
224,0.0,-0.16095009095125165,event1,m,1.0,1.0,1.4620780709258987,1
224,0.0,-0.3165789846261565,event1,m,1.0,1.0,1.4620780709258987,1
224,0.0,-0.4410820995660803,event1,m,1.0,1.0,1.0086641109377623,1
224,1.0,-0.3165789846261565,event1,m,1.0,1.0,-0.2561221985028285,0
224,0.0,-0.4123506115030208,event1,m,1.0,1.0,-0.5164555726586965,0
224,1.0,-0.3165789846261565,event1,m,1.0,1.0,-0.7546124001272126,1
224,0.0,-0.39439343146360883,event1,m,1.0,1.0,-1.1759667871868948,0
224,1.0,-0.3165789846261565,event1,m,1.0,1.0,-1.0252213667233068,1
224,0.0,-0.38210693985769534,event1,m,1.0,1.0,-1.1886496951585912,1
224,1.0,-0.3165789846261565,event1,m,1.0,1.0,-1.1288588432920232,1
225,1.0,2.17348331417232,event1,m,1.0,2.0,1.4620780709258987,0
225,0.0,0.3059365900734627,event1,m,1.0,2.0,1.4620780709258987,1
225,1.0,0.3059365900734627,event1,m,1.0,2.0,0.5552501509496263,1
225,1.0,0.5727289792304422,event1,m,1.0,2.0,-1.077040105007665,0
225,1.0,0.5134417816400025,event1,m,1.0,2.0,-1.2584056890029196,1
225,0.0,0.3059365900734627,event1,m,1.0,2.0,-1.2584056890029196,0
225,0.0,0.1361596151553847,event1,m,1.0,2.0,-1.1401237863973188,0
225,0.0,-0.005321197276346802,event1,m,1.0,2.0,-1.0316987090088516,1
225,0.0,-0.1250357308724274,event1,m,1.0,2.0,-1.0491377074699337,1
225,0.0,-0.22764818824049654,event1,m,1.0,2.0,-1.1645959041777878,1
225,0.0,-0.3165789846261565,event1,m,1.0,2.0,-1.1706481483600546,1
225,0.0,-0.39439343146360883,event1,m,1.0,2.0,-1.0883754540073685,1
227,0.0,-1.5616101340253947,event1,f,1.0,3.0,-0.351577769026647,1
227,1.0,-0.3165789846261565,event1,f,1.0,3.0,-0.351577769026647,1
227,0.0,-0.627836771975966,event1,f,1.0,3.0,-0.09248407760485447,1
229,1.0,0.9284521647730817,event1,f,1.0,2.0,1.4620780709258987,0
229,0.0,0.3059365900734627,event1,f,1.0,2.0,1.4620780709258987,1
229,0.0,-0.0675727547463087,event1,f,1.0,2.0,1.4620780709258987,1
231,0.0,-1.5616101340253947,event1,f,1.0,3.0,-1.2584056890029196,1
231,1.0,0.3059365900734627,event1,f,1.0,3.0,-2.547055891074465,1
232,0.0,-1.5616101340253947,event1,m,1.0,1.0,1.4620780709258987,0
232,0.0,-1.5616101340253947,event1,m,1.0,1.0,1.4620780709258987,0
232,1.0,-0.627836771975966,event1,m,1.0,1.0,0.5552501509496263,1
232,1.0,0.03914420091648298,event1,m,1.0,1.0,0.37388456695437167,1
232,1.0,0.3059365900734627,event1,m,1.0,1.0,0.6250061447939547,1
232,0.0,0.1361596151553847,event1,m,1.0,1.0,0.1018361909614896,1
232,0.0,-0.005321197276346802,event1,m,1.0,1.0,0.18185041919468986,1
232,0.0,-0.1250357308724274,event1,m,1.0,1.0,0.030244513068625745,1
232,0.0,-0.22764818824049654,event1,m,1.0,1.0,0.1018361909614896,1
237,0.0,-1.5616101340253947,event1,m,1.0,2.0,-0.351577769026647,1
237,1.0,-0.3165789846261565,event1,m,1.0,2.0,-0.8697651518702314,1
237,0.0,-0.627836771975966,event1,m,1.0,2.0,-0.578284749020715,1
237,0.0,-0.8145914443858517,event1,m,1.0,2.0,-1.0110889835548453,0
238,1.0,2.17348331417232,event1,m,1.0,1.0,-1.8025024409886832,0
239,1.0,0.3059365900734627,event1,m,0.0,0.0,1.4620780709258987,1
239,1.0,0.3059365900734627,event1,m,0.0,0.0,1.4620780709258987,1
239,1.0,0.3059365900734627,event1,m,0.0,0.0,1.4620780709258987,1
239,1.0,0.8152675148276964,event1,m,0.0,0.0,0.6847969966605219,0
239,0.0,0.6171943774232724,event1,m,0.0,0.0,0.4418966609525919,1
239,0.0,0.44959403038875934,event1,m,0.0,0.0,0.5019073321274921,1
239,1.0,0.43043970501338646,event1,m,0.0,0.0,0.37388456695437167,0
239,0.0,0.3059365900734627,event1,m,0.0,0.0,0.42570330523872996,0
240,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,1
240,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,1
240,0.0,-1.5616101340253947,event1,f,1.0,2.0,1.4620780709258987,1
240,1.0,-0.8145914443858517,event1,f,1.0,2.0,0.6847969966605219,1
240,0.0,-0.9390945593257757,event1,f,1.0,2.0,0.7819571309436942,1
240,1.0,-0.0675727547463087,event1,f,1.0,2.0,0.011153398963862048,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,1.4620780709258987,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,1.4620780709258987,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,0.37388456695437167,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,0.5552501509496263,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.351577769026647,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.5164555726586965,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.6306017444039613,1
241,0.0,-1.5616101340253947,event1,f,1.0,1.0,-1.0983772325365184,1
243,0.0,-1.5616101340253947,event1,m,1.0,2.0,-1.8025024409886832,0
243,0.0,-1.5616101340253947,event1,m,1.0,2.0,-1.2584056890029196,1
243,0.0,-1.5616101340253947,event1,m,1.0,2.0,-0.8697651518702314,1
248,0.0,-1.5616101340253947,event1,f,1.0,2.0,-0.351577769026647,1
248,0.0,-1.5616101340253947,event1,f,1.0,2.0,-1.2584056890029196,1
248,0.0,-1.5616101340253947,event1,f,1.0,2.0,-0.8697651518702314,1
250,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.351577769026647,1
250,0.0,-1.5616101340253947,event1,f,1.0,1.0,0.1018361909614896,1
250,0.0,-1.5616101340253947,event1,f,1.0,1.0,-0.8697651518702314,1
250,0.0,-1.5616101340253947,event1,f,1.0,1.0,-1.2584056890029196,1
250,0.0,-1.5616101340253947,event1,f,1.0,1.0,-1.2584056890029196,1
252,1.0,2.17348331417232,event1,m,2.0,3.0,1.4620780709258987,0
254,1.0,2.17348331417232,event1,m,1.0,2.0,-1.2584056890029196,0
254,0.0,0.3059365900734627,event1,m,1.0,2.0,-1.2584056890029196,0
254,0.0,-0.3165789846261565,event1,m,1.0,2.0,-0.8697651518702314,0
254,0.0,-0.627836771975966,event1,m,1.0,2.0,-0.578284749020715,1
254,0.0,-0.8145914443858517,event1,m,1.0,2.0,-1.2584056890029196,1
254,1.0,-0.49444057739747627,event1,m,1.0,2.0,-1.077040105007665,1
254,0.0,-0.627836771975966,event1,m,1.0,2.0,-1.0983772325365184,0
254,0.0,-0.7315893677592359,event1,m,1.0,2.0,-0.9561297156774952,1
254,0.0,-0.8145914443858517,event1,m,1.0,2.0,-1.1288588432920232,1
256,1.0,2.17348331417232,event1,f,1.0,1.0,1.4620780709258987,0
257,0.0,-1.5616101340253947,event1,m,2.0,3.0,-0.351577769026647,0
257,1.0,0.6794459348932341,event1,m,2.0,3.0,-0.351577769026647,0
257,1.0,1.0529552797130055,event1,m,2.0,3.0,-0.23822427902961268,1
257,0.0,0.8152675148276964,event1,m,2.0,3.0,-0.13820649373811175,0
257,0.0,0.6171943774232724,event1,m,2.0,3.0,-0.04930179570122259,1
257,0.0,0.44959403038875934,event1,m,2.0,3.0,0.030244513068625745,1
257,0.0,0.3059365900734627,event1,m,2.0,3.0,0.1018361909614896,1
257,1.0,0.4157922797263367,event1,m,2.0,3.0,0.1018361909614896,1
257,0.0,0.3059365900734627,event1,m,2.0,3.0,0.15624586616006603,1
261,1.0,2.17348331417232,event1,f,1.0,2.0,-2.4949892162432916,1
261,1.0,1.2397099521228914,event1,f,1.0,2.0,-2.1652336089791926,1
261,1.0,1.1063137575444015,event1,f,1.0,2.0,-1.560681662328344,1
261,0.0,0.7728232710981771,event1,f,1.0,2.0,-1.401589044788647,1
261,0.0,0.5134417816400025,event1,f,1.0,2.0,-1.505722394450994,0
261,0.0,0.3059365900734627,event1,f,1.0,2.0,-1.4851126689969878,1
261,0.0,0.1361596151553847,event1,f,1.0,2.0,-1.3672250394000725,0
261,0.0,-0.005321197276346802,event1,f,1.0,2.0,-1.2584056890029196,0
261,0.0,-0.1250357308724274,event1,f,1.0,2.0,-1.1576470312277782,1
263,1.0,2.17348331417232,event1,m,2.0,3.0,-0.351577769026647,1
263,0.0,0.3059365900734627,event1,m,2.0,3.0,0.1018361909614896,1
263,1.0,0.3059365900734627,event1,m,2.0,3.0,0.5552501509496263,0
263,1.0,0.5727289792304422,event1,m,2.0,3.0,0.85752612427505,0
263,1.0,0.5134417816400025,event1,m,2.0,3.0,0.20647018172798284,0
263,0.0,0.3059365900734627,event1,m,2.0,3.0,0.2961564595278337,1
263,0.0,0.1361596151553847,event1,m,2.0,3.0,0.37388456695437167,0
263,0.0,-0.005321197276346802,event1,m,2.0,3.0,0.18185041919468986,0
263,0.0,-0.1250357308724274,event1,m,2.0,3.0,0.2529741776242018,0
263,0.0,-0.22764818824049654,event1,m,2.0,3.0,0.3166112246400806,0
263,0.0,-0.3165789846261565,event1,m,2.0,3.0,0.37388456695437167,1
263,1.0,-0.1090737930596167,event1,m,2.0,3.0,0.5158228500810924,1
265,0.0,-1.5616101340253947,event1,m,1.0,1.0,1.4620780709258987,1
266,1.0,0.3059365900734627,event1,f,1.0,1.0,1.4620780709258987,1
266,0.0,-0.3165789846261565,event1,f,1.0,1.0,0.37388456695437167,1
267,1.0,2.17348331417232,event1,f,1.0,1.0,1.4620780709258987,1
267,0.0,0.3059365900734627,event1,f,1.0,1.0,1.4620780709258987,1
267,1.0,1.2397099521228914,event1,f,1.0,1.0,1.4620780709258987,1
268,1.0,2.17348331417232,event1,f,1.0,2.0,0.37388456695437167,0
271,0.0,-1.5616101340253947,event1,m,1.0,0.0,-0.351577769026647,0
271,1.0,-0.3165789846261565,event1,m,1.0,0.0,-1.2584056890029196,0
271,0.0,-0.627836771975966,event1,m,1.0,0.0,-1.2584056890029196,0
